path,symbol,operation,resource,evidence,method
src/file_domain/persistence.py,NormalizedDocumentRepository.insert,INSERT INTO,normalized_documents,src/file_domain/persistence.py:31,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.create,INSERT INTO,persistent_file_revisions,src/file_domain/persistent.py:88,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.advance,INSERT INTO,persistent_file_revisions,src/file_domain/persistent.py:119,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.get,FROM,persistent_file_destinations,src/file_domain/persistent.py:59,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.create,FROM,persistent_file_destinations,src/file_domain/persistent.py:71,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.create,INSERT INTO,persistent_file_destinations,src/file_domain/persistent.py:81,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.advance,UPDATE,persistent_file_destinations,src/file_domain/persistent.py:102,SQL_LITERAL
src/file_domain/persistent.py,PersistentWebFileService._source,FROM,stored_files,src/file_domain/persistent.py:261,SQL_LITERAL
src/file_domain/persistent.py,PersistentWebFileService._source,JOIN,run_files,src/file_domain/persistent.py:261,SQL_LITERAL
src/file_domain/persistent.py,PersistentWebFileService._source,JOIN,runs,src/file_domain/persistent.py:261,SQL_LITERAL
src/file_domain/persistent.py,PersistentWebFileService._approval,FROM,file_action_approvals,src/file_domain/persistent.py:274,SQL_LITERAL
src/file_domain/persistent.py,PersistentFileRepository.advance,FROM,persistent_file_destinations,src/file_domain/persistent.py:111,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher.publish,INSERT INTO,run_files,src/file_runtime/output.py:85,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher._existing_in_uow,FROM,run_files,src/file_runtime/output.py:125,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher._existing_in_uow,JOIN,stored_files,src/file_runtime/output.py:125,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher.publish,FROM,runs,src/file_runtime/output.py:61,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher.publish,INSERT INTO,stored_files,src/file_runtime/output.py:76,SQL_LITERAL
src/file_runtime/output.py,OutputPublisher.publish,FROM,stored_files,src/file_runtime/output.py:91,SQL_LITERAL
src/orchestration/research_schedule.py,ResearchScheduleManager._mark_applied,UPDATE,tasks,src/orchestration/research_schedule.py:51,SQL_LITERAL
src/orchestration/research_schedule.py,ResearchScheduleManager._pending,FROM,tasks,src/orchestration/research_schedule.py:41,SQL_LITERAL
src/persistence/migrate.py,migrate,FROM,hpagent.schema_migrations,src/persistence/migrate.py:31,SQL_LITERAL
src/persistence/migrate.py,migrate,INSERT INTO,hpagent.schema_migrations,src/persistence/migrate.py:38,SQL_LITERAL
src/persistence/migrate.py,migrate,UPDATE,hpagent.schema_migrations,src/persistence/migrate.py:44,SQL_LITERAL
src/persistence/repositories.py,ConversationRepository.create,INSERT INTO,conversations,src/persistence/repositories.py:50,SQL_LITERAL
